,log2FC,p,padj
ACOT13,-0.6899165990781686,1.1516076594230762e-05,0.00020956806161866323
ACOT2,0.5422437367122015,0.05585842296514013,0.10358181830825999
ACOT4,-0.17338211701107475,0.08750463651740115,0.14860535624446447
ACOT7,0.4755786342687687,0.001077097256650245,0.004856722734563138
ACOT8,0.4107430793036926,0.002334424397133425,0.008671190086273917
ACOT9,0.13729218475906713,0.07168054942891705,0.1261627548024282
ACOX1,-0.25154206904796794,0.002137491780994372,0.00809507619538521
ACOX2,0.02022860712880714,0.8548661526602233,0.8929522320473251
ACOX3,0.42318572942756383,0.006521316092666606,0.018740413058082557
ACP1,-0.21332385221830208,0.02078712385526589,0.046994334834704755
ACP2,0.1904867148296816,0.07034018649313857,0.1242358631588897
ACP5,0.7592517237213947,0.0064117935515717855,0.018486260540075336
ACP6,-0.11801975135918674,0.27989294060297076,0.37692432259269254
ACRBP,0.6081030768495155,0.030201608994758006,0.06340650648173217
ACSF2,0.3921142354006406,0.026509267708536136,0.05708519943850291
ACSF3,0.39896761286836835,0.050159811504568615,0.09503774138858989
ACSL1,-0.1938526808334391,0.12860273304261316,0.20175474090046408
ACSL3,-0.18285131047579206,0.21561084910170664,0.3062889619002859
ACSL4,-0.16572902555911817,0.7310252160357098,0.7941830896603363
ACSL5,-0.5938580079491533,6.206149499676417e-05,0.0006307982321705063
ACSL6,-0.17822759741105454,0.3870334429876421,0.4852757637112639
ACSM1,1.3659955318363535,0.01325659830866169,0.03276903543578786
ACSM2A,-0.10221561682057967,0.5095639181077516,0.6015342142228735
ACSM2B,0.12587653388759712,0.2979807321560813,0.39529405648501637
ACSM3,-0.4876067404263882,3.821788360939303e-05,0.00045698165737667867
ACSM5,-0.8076854135485707,0.0004648709132188894,0.002638949987728982
ACSS1,0.3538940604369376,0.06686980156822252,0.11945382317354757
ACSS2,1.0794256281723236,0.0001766590679120898,0.0013392488301139577
ACSS3,0.2605573838032935,0.04071997030955775,0.0802983162641099
ACTA1,1.1001940907364642,0.04828045837357445,0.09218070387394756
ACTA2,-0.19156903642668865,0.6120138394270858,0.6934118382276215
ACTB,-0.5919346901987321,2.50393121290574e-05,0.0003459475550771975
ACTG1,-0.4790301749228387,0.0038233917363616515,0.012522179160449402
ACTG2,-2.061399807829305,0.0014394158369830576,0.006027582459037936
ACTL6A,-0.2451605134178667,0.036314157055101944,0.07330265619179802
ACTMAP,-0.11224466465518912,0.5954207491457301,0.6794108713033562
ACTN1,0.4377841477215494,0.0005303282599434248,0.0028993292710875673
ACTN2,-1.4907282425942578,0.0010642327486889535,0.0048135760802768615
ACTN4,0.7614459517818357,0.0009019031984257526,0.004271779895172461
ACTR10,-0.15120222490413404,0.10877926202029631,0.17705403209416623
ACTR1A,0.5208854600353394,8.435544855531082e-05,0.000783564417265539
