herb,name,status,note,cid,smiles,formula,mw,logp,hbd,hba,admet_pass,pains,mw_pubchem
Sophora flavescens(苦参),Kushenol C,OK,,5481237.0,CC(=CC[C@H](CC1=C2C(=C(C=C1O)O)C(=O)C(=C(O2)C3=C(C=C(C=C3)O)O)O)C(=C)C)C,C25H26O7,438.48,5.08,5.0,7.0,True,,438.5
Sophora flavescens(苦参),Kushenol E,OK,,127234.0,CC(=CCC1=C(C(=C2C(=C1O)C(=O)C[C@H](O2)C3=C(C=C(C=C3)O)O)CC=C(C)C)O)C,C25H28O6,424.49,5.23,4.0,6.0,True,,424.5
Sophora flavescens(苦参),Kushenol H,OK,,44584091.0,CC(=C)[C@H](CCC(C)(C)O)CC1=C2C(=C(C=C1O)OC)C(=O)[C@@H]([C@H](O2)C3=C(C=C(C=C3)O)O)O,C26H32O8,472.53,3.78,5.0,8.0,True,,472.5
Sophora flavescens(苦参),Kushenol I,OK,,20832634.0,CC(=CC[C@H](CC1=C2C(=C(C=C1O)OC)C(=O)[C@@H]([C@H](O2)C3=C(C=C(C=C3)O)O)O)C(=C)C)C,C26H30O7,454.52,4.58,4.0,7.0,True,,454.5
Sophora flavescens(苦参),Formononetin,OK,,5280378.0,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,C16H12O4,268.27,3.17,1.0,4.0,True,,268.26
Sophora flavescens(苦参),Maackiain,OK,,91510.0,C1[C@@H]2[C@H](C3=C(O1)C=C(C=C3)O)OC4=CC5=C(C=C24)OCO5,C16H12O5,284.27,2.73,1.0,5.0,True,,284.26
Silybum marianum(水飞蓟),Silybin A,OK,,31553.0,COC1=C(C=CC(=C1)[C@@H]2[C@H](OC3=C(O2)C=C(C=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,C25H22O10,482.44,2.36,5.0,10.0,True,,482.4
Silybum marianum(水飞蓟),Silybin B,OK,,1548994.0,COC1=C(C=CC(=C1)[C@H]2[C@@H](OC3=C(O2)C=C(C=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,C25H22O10,482.44,2.36,5.0,10.0,True,,482.4
Silybum marianum(水飞蓟),Isosilybin A,OK,,11059920.0,COC1=C(C=CC(=C1)[C@@H]2[C@H](OC3=C(O2)C=CC(=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,C25H22O10,482.44,2.36,5.0,10.0,True,,482.4
Silybum marianum(水飞蓟),Isosilybin B,OK,,10885340.0,COC1=C(C=CC(=C1)[C@H]2[C@@H](OC3=C(O2)C=CC(=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,C25H22O10,482.44,2.36,5.0,10.0,True,,482.4
Silybum marianum(水飞蓟),Silydianin,OK,,11982272.0,COC1=C(C=CC(=C1)[C@@H]2[C@H]3CO[C@@]4([C@H]3C(=C[C@H]2C4=O)[C@@H]5[C@H](C(=O)C6=C(C=C(C=C6O5)O)O)O)O)O,C25H22O10,482.44,0.99,5.0,10.0,True,,482.4
Silybum marianum(水飞蓟),Silandrin,OK,,441663.0,COC1=C(C=CC(=C1)[C@@H]2[C@H](OC3=C(O2)C=CC(=C3)[C@@H]4CC(=O)C5=C(C=C(C=C5O4)O)O)CO)O,C25H22O9,466.44,3.39,4.0,9.0,True,,466.4
Silybum marianum(水飞蓟),Silyhermin,OK,,10389806.0,COC1=C(C=CC(=C1)C2C(C3=C(O2)C(=CC(=C3)[C@@H]4CC(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,C25H22O9,466.44,3.43,5.0,9.0,True,,466.4
Silybum marianum(水飞蓟),Neosilyhermin A,OK,,42607997.0,COC1=C(C=CC(=C1)C2C(C3=C(C=CC(=C3O2)O)[C@H]4CC(=O)C5=C(C=C(C=C5O4)O)O)CO)O,C25H22O9,466.44,3.43,5.0,9.0,True,,466.4
Silybum marianum(水飞蓟),Neosilyhermin B,OK,UNCERTAIN,42607998.0,COC1=C(C=CC(=C1)C2C(C3=C(C=CC(=C3O2)O)[C@@H]4CC(=O)C5=C(C=C(C=C5O4)O)O)CO)O,C25H22O9,466.44,3.43,5.0,9.0,True,,466.4
Silybum marianum(水飞蓟),Silymonin,OK,UNCERTAIN,156051.0,COC1=C(C=CC(=C1)[C@@H]2[C@H]3CO[C@@]4([C@H]3C(=C[C@H]2C4=O)[C@@H]5CC(=O)C6=C(C=C(C=C6O5)O)O)O)O,C25H22O9,466.44,2.02,4.0,9.0,True,,466.4
Silybum marianum(水飞蓟),"2,3-Dehydrosilybin",OK,UNCERTAIN,10696082.0,COC1=C(C=CC(=C1)[C@@H]2[C@H](OC3=C(O2)C=C(C=C3)C4=C(C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,C25H20O10,480.43,3.16,5.0,10.0,True,,480.4
Artemisia annua(青蒿),Artemisinin,OK,,68827.0,C[C@@H]1CC[C@H]2[C@H](C(=O)O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)C,C15H22O5,282.34,2.39,0.0,5.0,True,,282.33
