n,r2,rmse,mae,spearman,bias,method,assay_id,seed,n_cal,n_test
32,-0.03542006067433423,0.7726068996726531,0.6395913159539681,0.2863302752293578,0.11815553531489636,B_assay_linear,CHEMBL4123591,20260916,10,32
32,-0.15867453704806267,0.8172991105678217,0.6418600264565695,0.4937185296590007,0.4277759604199912,C_indicator_ridge,CHEMBL4123591,20260916,10,32
32,-0.19645132726474834,0.8305156348786153,0.7039687281539422,0.2863302752293578,0.031291317199089785,D_shrunk_offset,CHEMBL4123591,20260916,10,32
32,-0.14843897455770017,0.8136811519238237,0.6389723453299749,0.4940853339158053,0.4231530986770179,E_pool_ridge,CHEMBL4123591,20260916,10,32
20,-0.00865461930041933,0.9993868707205996,0.8597779204978446,0.42604444116445844,-0.1905910819829557,none_canonical_only,CHEMBL4402021,20260916,6,20
20,-0.1233654727641722,1.054685400965469,0.7827950348430972,,0.3495096832453158,cal_mean_baseline,CHEMBL4402021,20260916,6,20
20,-0.35562990140650275,1.1585985178180058,0.805388142560334,0.42604444116445844,0.6163613945185091,A_assay_offset,CHEMBL4402021,20260916,6,20
20,-0.6186757398505767,1.2660251338688113,1.0346446075546782,-0.42604444116445844,-0.12107633054862954,B_assay_linear,CHEMBL4402021,20260916,6,20
20,-0.4033336229759861,1.1788074289657817,0.9291911274134067,0.7519759659422155,0.9291911274134067,C_indicator_ridge,CHEMBL4402021,20260916,6,20
20,0.028010392506758075,0.9810546701818655,0.8182911988556019,0.42604444116445844,-0.004371389752731103,D_shrunk_offset,CHEMBL4402021,20260916,6,20
20,-0.39490337279690335,1.1752613687206257,0.9240386158167271,0.7331577485762942,0.9240386158167271,E_pool_ridge,CHEMBL4402021,20260916,6,20
28,-0.9839499355884536,0.7965298678749069,0.646338502171776,0.3140713677470778,0.5525167575563247,none_canonical_only,CHEMBL5730715,20260916,9,28
28,-0.033196112231832275,0.5748150000649331,0.571370434290497,,-0.10303394372127192,cal_mean_baseline,CHEMBL5730715,20260916,9,28
28,-0.3586107423090119,0.6591499646902442,0.5083391866065633,0.3140713677470778,-0.3244897732053941,A_assay_offset,CHEMBL5730715,20260916,9,28
28,0.0022472914449358505,0.5648695559795965,0.5502049781998425,0.3140713677470778,-0.17739671557294776,B_assay_linear,CHEMBL5730715,20260916,9,28
28,-0.11615171568978022,0.5974455444487581,0.49889534251769546,0.3645272677942464,-0.1185027965818589,C_indicator_ridge,CHEMBL5730715,20260916,9,28
28,-0.27511461397582937,0.6385741333776157,0.5568655022625604,0.3140713677470778,0.28034239918840476,D_shrunk_offset,CHEMBL5730715,20260916,9,28
28,-0.09788672722327796,0.5925370056120212,0.49380324959493976,0.35529872936907564,-0.1006781978607634,E_pool_ridge,CHEMBL5730715,20260916,9,28
80,0.2528595736492367,0.8645288657018609,0.7227504471461597,0.534916352753952,0.13812098993681377,none_canonical_only,POOLED,20260916,25,80
80,0.37124641692115845,0.7930829567199016,0.6439942555075193,0.5567658627673662,0.09442133798025552,cal_mean_baseline,POOLED,20260916,25,80
80,0.23014925263283237,0.8775697576533886,0.6615466045662564,0.6160737149859314,0.09329271807096903,A_assay_offset,POOLED,20260916,25,80
80,0.2491204393754567,0.8666894736934366,0.7070694206402017,0.604543870155243,-0.045095718961730556,B_assay_linear,POOLED,20260916,25,80
80,0.2607495992133546,0.8599519088901401,0.6636551623171728,0.7635654401008921,0.3619321872176976,C_indicator_ridge,POOLED,20260916,25,80
80,0.34099643631563803,0.8119368680625265,0.6810632167673735,0.6447744136842263,0.1095435191573948,D_shrunk_offset,POOLED,20260916,25,80
