molecule_id,canonical_smiles,inchikey,pActivity,n_records,assay_ids,documents,years,assay_format,overlaps_canonical_training,excluded,exclusion_reason
CHEMBL5878955,CC(=O)N[C@@H](C(=O)N[C@H]1CC[C@@H](N(C)C(=O)c2ccc(-c3nc4ccccc4o3)cc2)C1)C(C)C,ANSDDVFUYPHQJH-YZUZCNPQSA-N,4.576754126063192,1,CHEMBL5730715,CHEMBL5725391,2017,cell-based format,False,False,
CHEMBL5883848,CCC(=O)N[C@H]1CC[C@@H](N(C)C(=O)c2cnc(-c3cc(F)c4[nH]ccc4c3)cc2C)C1,GIMOMEJZZCJVFI-ZWKOTPCHSA-N,5.756961951313706,1,CHEMBL5730715,CHEMBL5725391,2017,cell-based format,False,False,
CHEMBL5888326,CC(=O)N[C@H](C(=O)N[C@H]1CC[C@@H](N(C)C(=O)c2ccc(-c3nc4ccccc4o3)cc2)C1)C(C)C,ANSDDVFUYPHQJH-IMSXRSKXSA-N,5.756961951313706,1,CHEMBL5730715,CHEMBL5725391,2017,cell-based format,False,False,
CHEMBL5890343,CCC(=O)N[C@H]1CC[C@@H](N(C)C(=O)c2ccc(-c3ccc(C4CCC(C)CC4)cc3F)cc2)C1,POGZKIZCCHIUDM-DVQVSZOKSA-N,5.756961951313706,1,CHEMBL5730715,CHEMBL5725391,2017,cell-based format,False,False,
CHEMBL5892895,CC(=O)N[C@@H](C)C(=O)N[C@H]1CCC(N(C)C(=O)c2ccc(-c3nc4ccccc4o3)cc2)C1,QCKNQUNEZHHQSX-YMNQCSKTSA-N,4.576754126063192,1,CHEMBL5730715,CHEMBL5725391,2017,cell-based format,False,False,
CHEMBL5912031,CCC(=O)N[C@H]1CC[C@@H](N(C)C(=O)c2ccc(-c3ccc(OC(F)(F)F)cc3)cc2)C1,VVTRKEAWGYLHID-RBUKOAKNSA-N,5.756961951313706,1,CHEMBL5730715,CHEMBL5725391,2017,cell-based format,False,False,
CHEMBL5913785,CCC(=O)N[C@H]1CC[C@@H](N(C)C(=O)c2cnc(-c3cc(F)c4[nH]ccc4c3)c(F)c2)C1,RURQJGHCVALSGA-DLBZAZTESA-N,5.756961951313706,1,CHEMBL5730715,CHEMBL5725391,2017,cell-based format,False,False,
CHEMBL5921663,CN(C(=O)c1ccc(-c2nc3ccccc3o2)cc1)C1CC[C@H](NC(=O)C[C@@H]2CCC(=O)N2)C1,KXXYMWSMYBKWJJ-NFBCFJMWSA-N,4.576754126063192,1,CHEMBL5730715,CHEMBL5725391,2017,cell-based format,False,False,
CHEMBL5922726,CCCC1CCC(c2ccc(-c3ccc(C(=O)N(C)[C@@H]4CC[C@H](NC(=O)CC)C4)cc3)cc2)OC1,HROJUMYLCSAMIV-DKNPANPVSA-N,5.756961951313706,1,CHEMBL5730715,CHEMBL5725391,2017,cell-based format,False,False,
CHEMBL5925383,CN(C(=O)c1ccc(-c2nc3ccccc3o2)cc1)[C@@H]1CC[C@H](NC(=O)c2ccccc2)C1,IGZNCDRTEUCFJV-FCHUYYIVSA-N,5.756961951313706,1,CHEMBL5730715,CHEMBL5725391,2017,cell-based format,False,False,
CHEMBL5934904,CCC(=O)N[C@H]1CC[C@@H](N(C)C(=O)c2ccc(-c3cc(F)c4[nH]ccc4c3)nc2)C1,XYARNLGSRQEONI-ZWKOTPCHSA-N,5.756961951313706,1,CHEMBL5730715,CHEMBL5725391,2017,cell-based format,False,False,
CHEMBL5942913,CO[C@H](C)C(=O)N[C@H]1CC[C@@H](N(C)C(=O)c2ccc(-c3nc4ccccc4o3)cc2)C1,LFTLGMZNYBPOJL-AYOQOUSVSA-N,5.756961951313706,1,CHEMBL5730715,CHEMBL5725391,2017,cell-based format,False,False,
CHEMBL5951700,CCC(=O)N[C@H]1CC[C@@H](N(C)C(=O)c2ccc(-c3cc(F)c4[nH]cc(C(N)=O)c4c3)c(F)c2)C1,MWTVIVRNLCENJB-JKSUJKDBSA-N,5.756961951313706,1,CHEMBL5730715,CHEMBL5725391,2017,cell-based format,False,False,
